カンマ(,)は消さずにお願いします。★は消しても大丈夫です,,,,,,
左から「曲番号」「ファイル名」「曲名」「作曲者」「演出総数(2以上の場合のみ記入)」「補足(ファイル消失等)」,,,,,,,
編集したら「RIGHT:最終更新」の部分を書き換える事！しなくても良いけど、してくれると嬉しいです,,,,,,,
ちなみにエクセルで見るとコンマが表の区切りとして認識されます。なのでエクセル推奨。でも保存は「csv形式」でお願いね,,,,,,,
,,,,,,,
,>,>,>,>,>,RIGHT:最終更新：2013/02/11,★
,189,under a cloak of snow.wav,,,,,★
,190,yoi.wav,,,,めがね取得で演出追加,★
,191,yume d3a.mid,,,,,★
,192,yume d4b.mid,,,,,★
,193,yume d11b.mid,,,,,★
,194,yumepo5.wav,,,,,★
,195,ヴォー.wav,,,,,★
,196,ゆめ2っき.MID,,,,,★
,197,屋敷内BGM.wav,,,,,★
,198,0722_3.wav,,,,,★
,199,surroundings_13_Cascade.wav,,,,,★
,200,風.wav,,,,,★
,201,parallel.wav,,,,,★
,202,ゆめにっき風？.mp3,,,,,★
,203,電車止まる.mp3,,,,,★
,204,2.wav,,,,,★
,205,bgm-s.wav,,,,,★
,206,toji.wav,,,,,★
,207,2_12.wav,,かめりあ,,,★
,208,2_37.wav,,かめりあ,,,★
,209,2_46.wav,,かめりあ,,,★
,210,2_52.wav,,かめりあ,,,★
,211,2_24.wav,,かめりあ,2,,★
,212,ao.mid,,こ（び）,,,★
,213,innuendo.wav,,,,,★
,214,tech3.wav,,,,,★
,215,2012_0513_2.wav,,,,,★
,216,夢オルゴールFC.mp3,夢オルゴールFC,ラギー,,,★
,217,0109BGM1.wav,,,,,★
,218,0109BGM2.wav,,,,,★
,219,0109BGM4.wav,,,,,★
,220,0109BGM5.wav,,,,,★
,221,celeb.wav,,,,,★
,222,drm_loop_30.wav,hitoshi,,,,★
,223,drm_loop_44.wav,hitoshi,,,,★
,224,drm_loop_107_2.wav,hitoshi,,,,★
,225,drm_oop_135.wav,hitoshi,,,,★
,226,drm_oop_135_yugami.wav,hitoshi,,,,★
,227,e8.wav,,みけ,,,★
,228,e9.wav,,みけ,,,★
,229,e10.wav,,みけ,,,★
,230,e11.wav,,みけ,,,★
,231,e4b.wav,,みけ,,,★
,232,n3-LaW_yugami_radio.wav,,,,,★
,233,n3-LaW_yugami.wav,,,,,★
,234,setunai.wav,,,,,★
,235,yumepo4.wav,,,,,★
,236,yumepo7.wav,,,,,★
,237,yumepo9.wav,,,,,★
,238,yumepo10.wav,,,,,★
,239,0426.mp3,,,,,★
,240,drm_kan_ge_doupicho01.mp3,,enas ihos AXIA,,,★
,241,drm_kan_ge_kaze_kouya01.mp3,,enas ihos AXIA,,,★
,242,drm_kan_ge_machi01.mp3,,enas ihos AXIA,,,★
,243,2_38.wav,,かめりあ,,,★
,244,PC_音源差し替え.wav,,,,,★
,245,2_byふーた.wav,,ふーた,,,★
,246,ded_ED.wav,,,,,★
,247,meri-.MP3,,,,,★
,248,tonny01.wav,,トニー・トウゴウ,,,★
,249,tonny02.wav,,トニー・トウゴウ,,,★
,250,tonny03.wav,,トニー・トウゴウ,,,★
,251,tonny04.wav,,トニー・トウゴウ,,,★
,252,tonny05.wav,,トニー・トウゴウ,,,★
,253,tonny06.wav,,トニー・トウゴウ,,,★
,254,VANEGI_3je_reMIX03.wav,,,,,★
,255,White Out.wav,,ふーた,,,★
,256,Mary's song for Ib byYASUpochi.mp3,,*Asterisk*,,演奏：YASUpochi,★
,257,sakai_4.wav,,sakai,,,★
